label,group,x,y
<latent>,latent,-0.41923857,0.31189984
sunflower,distractor,-0.35281050205230713,-0.3808198571205139
bookshelf,distractor,-0.3101179599761963,-0.4097125828266144
stop line violation,important,0.4439699053764343,-0.01801382750272751
complete stop,important,0.37696120142936707,0.13550573587417603
cut in,important,-0.3072704076766968,0.5475714206695557
stopped before stop line,important,0.5488067865371704,0.19627097249031067
hammock,distractor,-0.2261105179786682,-0.374023973941803
stopped in crosswalk,important,0.14155040681362152,-0.3467366695404053
stop line,important,0.5392699837684631,0.2698911428451538
protected left turn,important,-0.25246548652648926,0.013171432539820671
first come first served,important,-0.2809605896472931,0.34391099214553833
proceeded after stop,important,0.3436763882637024,-0.07387284934520721
rolling start,important,-0.20675069093704224,-0.09395063668489456
red light running,important,-0.30556315183639526,0.2724039554595947
crosswalk stop,important,0.26705312728881836,-0.39349499344825745
