label,group,x,y
<latent>,latent,-0.08933473,0.07374578
sunflower,distractor,-0.3071806728839874,-0.12483008950948715
bookshelf,distractor,-0.2875809669494629,-0.03641146048903465
stop line violation,important,-0.21321585774421692,0.2778262794017792
complete stop,important,-0.11475490778684616,0.32671523094177246
cut in,important,0.19106528162956238,0.17949315905570984
stopped before stop line,important,-0.02009686827659607,0.37402305006980896
hammock,distractor,-0.28201234340667725,0.00924865622073412
green light going straight,important,0.3148517310619354,-0.3531867265701294
stopped in crosswalk,important,-0.15556378662586212,0.1261468529701233
stop line,important,0.01721363328397274,0.4195001721382141
protected left turn,important,0.20468106865882874,0.35125553607940674
first come first served,important,0.14383648335933685,0.04997342452406883
proceeded after stop,important,-0.21165162324905396,0.20118826627731323
rolling start,important,-0.11536471545696259,0.03619535267353058
red light running,important,0.1464572548866272,0.03190388157963753
crosswalk stop,important,-0.23292578756809235,0.20909272134304047
lighthouse,distractor,-0.3448077440261841,-0.11634871363639832
departing after stop,important,-0.20166635513305664,0.21818432211875916
yellow light dilemma,important,-0.2127084732055664,-0.06534524261951447
overtaking,important,-0.20341843366622925,-0.017330031841993332
depart after stop,important,-0.19255667924880981,0.2564660310745239
yellow light going straight,important,0.24275989830493927,-0.3855697512626648
green light going straight collided with red light vehicle,important,0.09357301890850067,-0.24090054631233215
cooking,distractor,-0.2671022117137909,-0.1609152853488922
creeping start,important,-0.2280304729938507,-0.007098576985299587
zipper merge,important,-0.4102475643157959,-0.01651589572429657
going straight from main road entered later,important,0.4441186189651489,-0.33885419368743896
galaxy,distractor,-0.3340550661087036,-0.1204216480255127
merge conflict,important,-0.36118218302726746,0.03412216156721115
toothpaste,distractor,-0.3715432584285736,-0.05260498821735382
failed to yield,important,-0.2715275287628174,0.02062707580626011
abstract art,distractor,-0.23367300629615784,-0.05954473465681076
full stop,important,-0.01903173141181469,0.35292136669158936
green left turn signal left turn collided with red light vehicle,important,0.1390753835439682,0.31473928689956665
going straight from main road,important,0.4804809093475342,-0.42460566759109497
rainbow,distractor,-0.27045291662216187,-0.10621054470539093
yellow light left turn collided with red light vehicle,important,0.05575662478804588,0.15556690096855164
left turn arrow,important,0.1981741040945053,0.3289967179298401
right turn from main road entered later,important,0.5247390270233154,0.19881702959537506
marble,distractor,-0.2690994143486023,-0.0778588280081749
jazz music,distractor,-0.17257337272167206,-0.08451420068740845
pedestrian signal dont walk,important,-0.31437161564826965,0.06475218385457993
signal violation,important,-0.428184449672699,0.048617128282785416
random token,distractor,-0.3227591812610626,-0.051186442375183105
following vehicle going straight after leaving safety zone,important,0.11554750800132751,-0.3153907060623169
right turn entered later,important,0.39705657958984375,0.3238784670829773
going straight from left road,important,0.5877141356468201,-0.3215652406215668
going straight lane change inside intersection,important,0.07531452924013138,-0.25196903944015503
going straight from the right entered later,important,0.590796947479248,-0.258733332157135
right turn from main road,important,0.5832685232162476,0.24091747403144836
hesitation to proceed,important,-0.3242990970611572,-0.059826914221048355
right turn on red,important,0.4754771888256073,0.41490817070007324
rolling stop,important,-0.17405010759830475,0.20310960710048676
yield to oncoming traffic,important,-0.262307345867157,-0.043227244168519974
going straight from side road left,important,0.5923815369606018,-0.27195626497268677
pineapple,distractor,-0.3926514685153961,-0.11859366297721863
going straight from main road entered earlier,important,0.3838336169719696,-0.36065059900283813
right turn,important,0.47321584820747375,0.4519220292568207
waterfall,distractor,-0.3989149332046509,-0.07137569040060043
pedestrian signal walk,important,-0.3606047034263611,0.07113654911518097
going straight from the right,important,0.6463767886161804,-0.3200839161872864
green arrow,important,-0.1024201512336731,-0.015782808884978294
following vehicle going straight,important,0.22233158349990845,-0.47662365436553955
basketball,distractor,-0.24231073260307312,-0.18892547488212585
left turn from right road,important,0.6417402029037476,0.31012147665023804
following vehicle going straight left side of lane,important,0.3841843008995056,-0.2899303138256073
left turn from side road,important,0.5375177264213562,0.2679414749145508
right turn from main road entered earlier,important,0.46777522563934326,0.1705387830734253
going straight from right road,important,0.627750813961029,-0.32544419169425964
weather,distractor,-0.1983826756477356,-0.022545570507645607
circus,distractor,-0.31357330083847046,-0.05695592612028122
turn signal,important,-0.0592707097530365,0.4202011227607727
right turn from side road entered later,important,0.5520622730255127,0.21017399430274963
education,distractor,-0.15940138697624207,-0.10428397357463837
solid green,important,-0.07309336215257645,-0.042414478957653046
going straight from side road right,important,0.6319162845611572,-0.2791232466697693
castle,distractor,-0.2069961428642273,-0.001020300667732954
yield to pedestrian,important,-0.38152945041656494,0.01656772568821907
stop and go,important,0.1572636514902115,0.35440757870674133
abrupt acceleration,important,-0.45160549879074097,-0.0799182578921318
going straight from the right entered earlier,important,0.5354281663894653,-0.28810152411460876
knitting,distractor,-0.36908942461013794,-0.1724671721458435
facing each other going straight,important,0.21572993695735931,-0.4339783191680908
mountain,distractor,-0.1004583090543747,-0.046177081763744354
biology,distractor,-0.35428646206855774,-0.1070912778377533
following vehicle going straight right side of lane,important,0.42457354068756104,-0.2968634366989136
right turn entered earlier,important,0.32473307847976685,0.2876860201358795
cupcake,distractor,-0.3363829553127289,-0.07362759858369827
right of way,important,0.5168561935424805,0.1271394044160843
unicorn,distractor,-0.3531912863254547,-0.09469786286354065
postcard,distractor,-0.25897902250289917,-0.006234971806406975
astronomy,distractor,-0.40278515219688416,-0.10206809639930725
right turn from side road,important,0.6099051237106323,0.2517696022987366
right turn right lane,important,0.45509350299835205,0.28719496726989746
wallpaper,distractor,-0.31742703914642334,-0.09106986224651337
origami,distractor,-0.3186551630496979,-0.05122821778059006
microwave,distractor,-0.4212172031402588,-0.11198151111602783
universe,distractor,-0.27460774779319763,-0.11587490886449814
red arrow,important,-0.09117208421230316,0.0403471514582634
lane merge,important,-0.2642906904220581,-0.0020238980650901794
